('IN', 'DT', 'NN'),880,0.027776024240893885
('DT', 'NN', 'IN'),467,0.014740231046019823
('DT', 'JJ', 'NN'),466,0.014708667382109715
('NN', 'IN', 'DT'),451,0.014235212423458115
('NN', 'PRP', 'VBD'),265,0.008364370936178272
('VBD', 'DT', 'NN'),256,0.00808029796098731
('IN', 'DT', 'JJ'),244,0.007701533994066031
('DT', 'NN', 'VBD'),218,0.006880878732403257
('PRP', 'MD', 'VB'),216,0.006817751404583044
('PRP', 'VBD', 'DT'),210,0.006628369421122404
('JJ', 'NN', 'IN'),199,0.0062811691181112305
('DT', 'NN', 'PRP'),195,0.006154914462470804
('DT', 'NN', 'NN'),192,0.006060223470740484
('NNP', 'NNP', 'NNP'),186,0.005870841487279843
('DT', 'NN', 'CC'),185,0.0058392778233697365
('IN', 'PRP$', 'NN'),169,0.00533425920080803
('PRP', 'VBD', 'RB'),161,0.005081749889527177
('NNP', 'NNP', 'VBD'),158,0.004987058897796856
('VBD', 'DT', 'JJ'),157,0.004955495233886749
('RB', 'IN', 'DT'),147,0.004639858594785683
('IN', 'PRP', 'VBD'),141,0.004450476611325043
('NN', 'DT', 'NN'),139,0.0043873492835048294
('DT', 'NN', 'DT'),132,0.004166403636134083
('VBD', 'IN', 'DT'),129,0.004071712644403762
('DT', 'JJ', 'JJ'),127,0.004008585316583549
('PRP', 'VBD', 'PRP'),123,0.003882330660943122
('NN', 'IN', 'PRP'),120,0.003787639669212802
('JJ', 'NN', 'VBD'),118,0.003724512341392589
('RB', 'PRP', 'VBD'),117,0.003692948677482482
('DT', 'NN', 'NNP'),115,0.003629821349662269
('PRP', 'VBD', 'IN'),112,0.003535130357931949
('NN', 'IN', 'NN'),111,0.0035035666940218422
('VB', 'DT', 'NN'),107,0.003377312038381415
('IN', 'DT', 'NNS'),106,0.0033457483744713085
('PRP', 'VBD', 'VBN'),104,0.003282621046651095
('DT', 'NN', 'RB'),99,0.003124802727100562
('IN', 'DT', 'NNP'),99,0.003124802727100562
('NN', 'NNP', 'VBD'),98,0.0030932390631904553
('CC', 'PRP', 'VBD'),97,0.0030616753992803486
('NN', 'DT', 'JJ'),97,0.0030616753992803486
('PRP$', 'JJ', 'NN'),93,0.0029354207436399216
('NNS', 'IN', 'DT'),93,0.0029354207436399216
('NN', 'IN', 'PRP$'),92,0.002903857079729815
('IN', 'IN', 'DT'),90,0.0028407297519096016
('IN', 'NNP', 'NNP'),89,0.002809166087999495
('NNP', 'VBD', 'PRP'),88,0.0027776024240893883
('NN', 'IN', 'NNP'),83,0.002619784104538855
('NNP', 'PRP', 'VBD'),81,0.0025566567767186417
('VBD', 'PRP', 'VBD'),79,0.002493529448898428
('NN', 'CC', 'PRP'),77,0.0024304021210782146
('RB', 'DT', 'NN'),77,0.0024304021210782146
('NN', 'NNP', 'NNP'),77,0.0024304021210782146
('DT', 'NNP', 'NNP'),77,0.0024304021210782146
('JJ', 'NN', 'PRP'),76,0.002398838457168108
('NNP', 'VBD', 'IN'),75,0.0023672747932580013
('NN', 'VBD', 'DT'),74,0.0023357111293478947
('VBN', 'IN', 'DT'),74,0.0023357111293478947
('PRP', 'IN', 'DT'),72,0.0022725838015276814
('JJ', 'JJ', 'NN'),71,0.0022410201376175747
('PRP', 'VBP', 'RB'),71,0.0022410201376175747
('JJ', 'NN', 'CC'),71,0.0022410201376175747
('NN', 'CC', 'VBD'),71,0.0022410201376175747
('NN', 'NN', 'IN'),70,0.002209456473707468
('NN', 'PRP', 'VBP'),69,0.0021778928097973614
('TO', 'DT', 'NN'),69,0.0021778928097973614
('PRP', 'VBD', 'VBG'),68,0.0021463291458872547
('IN', 'NN', 'IN'),68,0.0021463291458872547
('NN', 'VBD', 'RB'),67,0.002114765481977148
('VBD', 'RB', 'IN'),67,0.002114765481977148
('JJ', 'NN', 'DT'),67,0.002114765481977148
('PRP', 'MD', 'RB'),66,0.0020832018180670414
('NN', 'VBD', 'IN'),66,0.0020832018180670414
('VBG', 'IN', 'DT'),65,0.0020516381541569343
('PRP$', 'NN', 'IN'),64,0.0020200744902468277
('VBD', 'TO', 'VB'),64,0.0020200744902468277
('TO', 'VB', 'PRP'),64,0.0020200744902468277
('VBD', 'PRP$', 'NN'),64,0.0020200744902468277
('PRP', 'PRP', 'VBD'),64,0.0020200744902468277
('NN', 'TO', 'VB'),61,0.0019253834985165077
('RP', 'IN', 'DT'),60,0.001893819834606401
('MD', 'RB', 'VB'),60,0.001893819834606401
('DT', 'NN', 'TO'),59,0.0018622561706962944
('DT', 'JJ', 'NNS'),59,0.0018622561706962944
('DT', 'NNS', 'IN'),58,0.0018306925067861878
('TO', 'VB', 'DT'),58,0.0018306925067861878
('VBD', 'PRP', 'VBP'),58,0.0018306925067861878
('PRP', 'VBD', 'JJ'),57,0.001799128842876081
('CC', 'DT', 'NN'),56,0.0017675651789659744
('NNP', 'IN', 'DT'),56,0.0017675651789659744
('NN', 'PRP', 'MD'),55,0.0017360015150558678
('RB', 'IN', 'PRP'),55,0.0017360015150558678
('PRP$', 'NN', 'PRP'),54,0.001704437851145761
('PRP$', 'NN', 'CC'),54,0.001704437851145761
('PRP$', 'NN', 'VBD'),54,0.001704437851145761
('PRP', 'VBD', 'TO'),54,0.001704437851145761
('IN', 'PRP$', 'JJ'),54,0.001704437851145761
('NNP', 'VBD', 'RB'),54,0.001704437851145761
('NN', 'VBD', 'VBN'),53,0.0016728741872356543
('VBD', 'VBG', 'IN'),53,0.0016728741872356543
('NN', 'IN', 'NNS'),53,0.0016728741872356543
('NN', 'CC', 'DT'),53,0.0016728741872356543
('VBD', 'VBN', 'IN'),53,0.0016728741872356543
('VBD', 'IN', 'PRP'),53,0.0016728741872356543
('TO', 'VB', 'IN'),52,0.0016413105233255476
('NNP', 'VBD', 'DT'),52,0.0016413105233255476
('JJ', 'NNS', 'IN'),52,0.0016413105233255476
('MD', 'VB', 'PRP'),51,0.001609746859415441
('IN', 'PRP', 'VBP'),51,0.001609746859415441
('NN', 'VBD', 'PRP'),50,0.0015781831955053343
('CC', 'PRP', 'MD'),49,0.0015466195315952276
('RB', 'PRP', 'VBP'),49,0.0015466195315952276
('PRP', 'VBP', 'DT'),49,0.0015466195315952276
('JJ', 'NN', 'NN'),48,0.001515055867685121
('DT', 'NN', 'VBG'),48,0.001515055867685121
('JJ', 'NN', 'NNP'),48,0.001515055867685121
('JJ', 'IN', 'DT'),47,0.001483492203775014
('VBN', 'DT', 'NN'),47,0.001483492203775014
('NN', 'CC', 'NN'),47,0.001483492203775014
('WRB', 'PRP', 'VBD'),47,0.001483492203775014
('PRP', 'DT', 'NN'),47,0.001483492203775014
('RP', 'DT', 'NN'),45,0.0014203648759548008
('NN', 'RB', 'PRP'),43,0.0013572375481345875
('IN', 'PRP', 'IN'),43,0.0013572375481345875
('MD', 'VB', 'DT'),43,0.0013572375481345875
('VBD', 'RB', 'VBN'),43,0.0013572375481345875
('NN', 'RB', 'IN'),42,0.0013256738842244808
('NNS', 'PRP', 'VBD'),42,0.0013256738842244808
('NNP', 'NNP', 'IN'),41,0.0012941102203143742
('VBD', 'PRP', 'IN'),41,0.0012941102203143742
('RB', 'VB', 'PRP'),41,0.0012941102203143742
('IN', 'PRP', 'MD'),40,0.0012625465564042673
