('IN', 'DT', 'NN'),58483,0.023681757478524322
('DT', 'NN', 'IN'),47618,0.019282149130728097
('DT', 'JJ', 'NN'),39988,0.01619250240328353
('NN', 'IN', 'DT'),39552,0.016015951161715267
('IN', 'DT', 'JJ'),26814,0.010857901356448048
('JJ', 'NN', 'IN'),23221,0.009402973349671072
('IN', 'PRP$', 'NN'),17694,0.007164902908965158
('NN', 'PRP', 'VBD'),16213,0.006565195595289483
('NN', 'IN', 'NN'),15243,0.006172409576204132
('PRP', 'MD', 'VB'),12946,0.005242276085648409
('NN', 'IN', 'PRP$'),12413,0.005026446242171613
('IN', 'PRP', 'VBD'),12145,0.0049179239193727735
('VBD', 'DT', 'NN'),11431,0.0046288010146027314
('PRP', 'VBD', 'RB'),11069,0.0044822148920162395
('DT', 'NN', 'CC'),10628,0.0043036389802465075
('NN', 'IN', 'PRP'),10056,0.004072016709198239
('PRP', 'VBD', 'IN'),9754,0.003949726629029398
('DT', 'NN', 'PRP'),9682,0.0039205713781282165
('DT', 'NN', 'VBD'),9635,0.0039015394782343903
('NNS', 'IN', 'DT'),9625,0.0038974901378314485
('NNP', 'NNP', 'NNP'),9286,0.003760217498171723
('IN', 'DT', 'NNS'),8703,0.003524140952680218
('PRP', 'VBD', 'DT'),8646,0.00350105971238345
('DT', 'NN', 'NN'),8584,0.003475953801885211
('IN', 'NN', 'IN'),8581,0.0034747389997643284
('PRP$', 'NN', 'IN'),8301,0.003361357468481959
('RB', 'IN', 'DT'),8278,0.003352043985555193
('VBN', 'IN', 'DT'),7930,0.0032111269395328195
('JJ', 'NN', 'CC'),7794,0.0031560559100528114
('VBD', 'IN', 'DT'),7595,0.0030754740360342705
('VB', 'DT', 'NN'),7487,0.003031741159682499
('NN', 'IN', 'NNP'),7443,0.0030139240619095555
('PRP', 'VBD', 'PRP'),7372,0.002985173745048669
('NN', 'DT', 'NN'),7344,0.002973835591920432
('JJ', 'NNS', 'IN'),7332,0.002968976383436902
('PRP', 'VBD', 'VBN'),7287,0.002950754351623664
('NN', 'IN', 'JJ'),7125,0.0028851550370960076
('NN', 'TO', 'VB'),7102,0.0028758415541692414
('JJ', 'NN', 'PRP'),6963,0.0028195557225683507
('IN', 'DT', 'NNP'),6947,0.002813076777923644
('PRP$', 'JJ', 'NN'),6887,0.0027887807355059936
('IN', 'JJ', 'NN'),6755,0.002735329442187162
('VBD', 'DT', 'JJ'),6749,0.002732899837945397
('DT', 'NNS', 'IN'),6712,0.0027179172784545127
('IN', 'NNP', 'NNP'),6591,0.0026689202595789174
('NNP', 'NNP', 'VBD'),6467,0.0026187084385824394
('TO', 'VB', 'DT'),6379,0.0025830742430365517
('TO', 'VB', 'IN'),6271,0.0025393413666847807
('MD', 'RB', 'VB'),6194,0.002508161445582129
('NN', 'PRP', 'VBP'),5967,0.002416241418435351
('TO', 'VB', 'PRP'),5960,0.0024134068801532917
('NN', 'CC', 'NN'),5879,0.0023806072228894637
('VBD', 'TO', 'VB'),5871,0.0023773677505671102
('IN', 'PRP$', 'JJ'),5850,0.0023688641357209324
('NN', 'NN', 'IN'),5702,0.0023089338977573945
('DT', 'JJ', 'NNS'),5684,0.002301645085032099
('IN', 'PRP', 'VBP'),5658,0.0022911167999844504
('JJ', 'JJ', 'NN'),5584,0.0022611516810026816
('TO', 'DT', 'NN'),5566,0.0022538628682773863
('IN', 'JJ', 'NNS'),5518,0.002234426034343266
('PRP', 'VBP', 'RB'),5498,0.0022263273535373823
('IN', 'PRP$', 'NNS'),5349,0.00216599218153355
('IN', 'NN', 'CC'),5323,0.0021554638964859014
('NN', 'CC', 'DT'),5314,0.0021518194901232537
('JJ', 'NN', 'VBD'),5189,0.0021012027350864816
('PRP', 'IN', 'DT'),5149,0.0020850053734747147
('DT', 'JJ', 'JJ'),5098,0.0020643537374197118
('DT', 'NN', 'DT'),5096,0.0020635438693391234
('PRP$', 'NN', 'CC'),5039,0.0020404626290423554
('DT', 'NN', 'NNP'),4979,0.0020161665866247048
('DT', 'NN', 'RB'),4884,0.0019776978527967577
('CC', 'DT', 'NN'),4864,0.0019695991719908745
('VBD', 'VBN', 'IN'),4843,0.0019610955571446966
('CC', 'PRP', 'VBD'),4724,0.0019129084063496896
('VBZ', 'DT', 'NN'),4669,0.00189063703413351
('RB', 'PRP', 'VBD'),4613,0.001867960727877036
('PRP', 'VBD', 'TO'),4561,0.001846904157781739
('RB', 'DT', 'NN'),4508,0.0018254426536461477
('PRP', 'MD', 'RB'),4483,0.001815319302638793
('JJ', 'NN', 'NN'),4473,0.0018112699622358514
('NNP', 'PRP', 'VBD'),4448,0.001801146611228497
('JJ', 'IN', 'DT'),4329,0.00175295946043349
('PRP$', 'NN', 'VBD'),4249,0.0017205647372099558
('DT', 'NN', 'TO'),4245,0.0017189450010487793
('PRP', 'VBP', 'PRP'),4186,0.0016950538926714229
('PRP$', 'NN', 'PRP'),4179,0.0016922193543893636
('NN', 'IN', 'NNS'),4165,0.001686550277825245
('NNP', 'IN', 'DT'),4152,0.0016812861353014208
('JJ', 'NN', 'NNP'),4144,0.0016780466629790674
('NN', 'PRP', 'MD'),4098,0.0016594196971255351
('VB', 'IN', 'DT'),4076,0.0016505111482390633
('NN', 'CC', 'VBD'),4014,0.0016254052377408243
('DT', 'NN', 'VBZ'),4004,0.0016213558973378827
('IN', 'NN', 'PRP'),3961,0.001603943733605233
('RB', 'JJ', 'IN'),3898,0.0015784328890666999
('NN', 'NNP', 'NNP'),3865,0.001565070065736992
('RB', 'RB', 'IN'),3830,0.001550897374326696
('NN', 'VBD', 'RB'),3804,0.0015403690892790472
('NN', 'CC', 'PRP'),3779,0.0015302457382716929
('VBD', 'PRP$', 'NN'),3757,0.001521337189385221
('VBD', 'RB', 'IN'),3750,0.0015185026511031618
('NNS', 'IN', 'NN'),3745,0.0015164779809016908
('MD', 'VB', 'VBN'),3744,0.0015160730468613967
('NN', 'DT', 'JJ'),3727,0.0015091891681763957
('DT', 'NNP', 'NNP'),3714,0.0015039250256525714
('NN', 'VBD', 'VBN'),3669,0.0014857029938393335
('IN', 'IN', 'DT'),3660,0.0014820585874766859
('RB', 'IN', 'PRP'),3656,0.0014804388513155091
('VBD', 'RB', 'VBN'),3654,0.0014796289832349208
('JJ', 'NN', 'DT'),3611,0.0014622168195022713
('IN', 'PRP', 'MD'),3608,0.0014610020173813887
('NNS', 'PRP', 'VBD'),3589,0.0014533082706157995
('NN', 'CC', 'IN'),3583,0.0014508786663740344
('NN', 'IN', 'VBG'),3545,0.0014354911728428556
('PRP', 'VBP', 'IN'),3519,0.001424962887795207
('NN', 'VBD', 'IN'),3515,0.0014233431516340303
('NN', 'VBD', 'DT'),3488,0.0014124099325460875
('NNP', 'NNP', 'IN'),3418,0.0013840645497254951
('VBD', 'RB', 'JJ'),3389,0.001372321462556964
('PRP', 'VBP', 'DT'),3377,0.001367462254073434
('PRP', 'VBP', 'VBN'),3314,0.0013419514095349009
('VBG', 'IN', 'DT'),3292,0.001333042860648429
('VB', 'DT', 'JJ'),3290,0.0013322329925678407
('NN', 'CC', 'RB'),3281,0.001328588586205193
('JJ', 'TO', 'VB'),3275,0.001326158981963428
('NN', 'MD', 'VB'),3251,0.0013164405649963677
('WRB', 'PRP', 'VBD'),3243,0.0013132010926740142
('CC', 'IN', 'DT'),3232,0.0013087468182307784
('VBD', 'IN', 'PRP'),3228,0.0013071270820696017
('JJ', 'CC', 'JJ'),3199,0.0012953839949010706
('IN', 'PRP', 'IN'),3192,0.0012925494566190113
('VB', 'PRP$', 'NN'),3188,0.0012909297204578346
('VBD', 'PRP', 'IN'),3179,0.0012872853140951871
('PRP', 'PRP', 'VBD'),3168,0.0012828310396519511
('PRP', 'RB', 'VBD'),3161,0.0012799965013698918
('PRP', 'VBD', 'JJ'),3108,0.0012585349972343005
('CC', 'DT', 'JJ'),3088,0.001250436316428417
('RB', 'VBN', 'IN'),3029,0.0012265452080510606
('JJ', 'NNS', 'CC'),3022,0.0012237106697690014
('DT', 'NN', 'WDT'),3004,0.001216421857043706
('MD', 'VB', 'PRP'),3000,0.0012148021208825295
('VBG', 'DT', 'NN'),2999,0.0012143971868422353
('NN', 'PRP', 'VBZ'),2930,0.001186456738061937
('NN', 'NNP', 'VBD'),2925,0.0011844320678604662
('MD', 'VB', 'IN'),2924,0.001184027133820172
('VB', 'IN', 'PRP'),2921,0.0011828123316992894
('MD', 'VB', 'DT'),2887,0.0011690445743292874
('VBN', 'TO', 'VB'),2872,0.0011629705637248749
('NNP', 'NNP', 'PRP'),2863,0.0011593261573622272
('VBP', 'DT', 'NN'),2840,0.0011500126744354612
('PRP', 'TO', 'VB'),2838,0.0011492028063548728
('NNS', 'IN', 'PRP$'),2823,0.0011431287957504603
('NN', 'NN', 'CC'),2821,0.001142318927669872
('JJ', 'NN', 'RB'),2819,0.0011415090595892836
('RB', 'TO', 'VB'),2798,0.0011330054447431057
('NNP', 'VBD', 'DT'),2788,0.001128956104340164
('VB', 'PRP', 'IN'),2773,0.0011228820937357513
('NNP', 'VBD', 'IN'),2771,0.001122072225655163
('PRP', 'VBP', 'JJ'),2750,0.0011135686108089853
('PRP', 'VBD', 'VBG'),2743,0.001110734072526926
('RB', 'JJ', 'NN'),2731,0.001105874864043396
('TO', 'VB', 'PRP$'),2722,0.0011022304576807484
('VBD', 'RB', 'RB'),2711,0.0010977761832375124
