('IN', 'DT', 'NN'),1882,0.02700530922657483
('DT', 'NN', 'IN'),991,0.014220117663940306
('DT', 'JJ', 'NN'),868,0.012455158559334194
('NN', 'IN', 'DT'),856,0.0122829674271775
('NN', 'PRP', 'VBD'),838,0.01202468072894246
('DT', 'NN', 'PRP'),665,0.009542258573683455
('DT', 'NN', 'VBD'),563,0.008078633950351556
('PRP', 'VBD', 'RB'),549,0.007877744296168747
('VBD', 'DT', 'NN'),525,0.0075333620318553595
('PRP', 'VBD', 'PRP'),487,0.006988090113359162
('PRP', 'VBD', 'DT'),480,0.006887645286267757
('DT', 'NN', 'CC'),478,0.006858946764241642
('IN', 'DT', 'JJ'),441,0.006328024106758502
('PRP', 'MD', 'VB'),428,0.00614148371358875
('PRP', 'VBD', 'IN'),399,0.005725355144210073
('IN', 'PRP', 'VBD'),345,0.0049504950495049506
('PRP', 'VBP', 'RB'),341,0.004893098005452719
('IN', 'DT', 'NNS'),337,0.004835700961400488
('VBD', 'DT', 'JJ'),317,0.004548715741139331
('VBD', 'IN', 'DT'),315,0.004520017219113216
('JJ', 'NN', 'IN'),314,0.004505667958100158
('RB', 'PRP', 'VBD'),308,0.004419572392021811
('CC', 'PRP', 'VBD'),294,0.004218682737839001
('RB', 'IN', 'DT'),292,0.004189984215812886
('VB', 'DT', 'NN'),285,0.004089539388721481
('NNS', 'IN', 'DT'),269,0.0038599512125125557
('NN', 'DT', 'NN'),258,0.0037021093413689195
('DT', 'NN', 'DT'),258,0.0037021093413689195
('NNP', 'VBD', 'PRP'),256,0.003673410819342804
('PRP', 'VBP', 'PRP'),246,0.0035299182092122256
('NN', 'PRP', 'VBP'),244,0.00350121968718611
('NN', 'NNP', 'VBD'),244,0.00350121968718611
('MD', 'RB', 'VB'),240,0.0034438226431338786
('NN', 'IN', 'PRP'),237,0.003400774860094705
('PRP', 'MD', 'RB'),236,0.0033864255990816473
('VBP', 'RB', 'VB'),230,0.0033003300330033004
('JJ', 'NN', 'PRP'),225,0.0032285837279380112
('IN', 'PRP$', 'NN'),215,0.003085091117807433
('NN', 'CC', 'VBD'),215,0.003085091117807433
('TO', 'VB', 'PRP'),215,0.003085091117807433
('VBD', 'PRP', 'VBD'),211,0.0030276940737552016
('RB', 'VB', 'PRP'),211,0.0030276940737552016
('NN', 'IN', 'NN'),204,0.002927249246663797
('DT', 'NN', 'NNP'),203,0.002912899985650739
('NNP', 'PRP', 'VBD'),202,0.002898550724637681
('DT', 'NN', 'NN'),196,0.0028124551585593342
('TO', 'DT', 'NN'),186,0.002668962548428756
('DT', 'NN', 'RB'),184,0.0026402640264026403
('IN', 'IN', 'DT'),179,0.002568517721337351
('PRP', 'VBD', 'VBN'),178,0.0025541684603242933
('PRP', 'PRP', 'VBD'),175,0.00251112067728512
('DT', 'NNS', 'IN'),173,0.002482422155259004
('VBD', 'PRP', 'VBP'),171,0.0024537236332328885
('NNP', 'NNP', 'VBD'),168,0.002410675850193715
('IN', 'DT', 'NNP'),168,0.002410675850193715
('PRP', 'VBD', 'VBG'),166,0.0023819773281675994
('CC', 'DT', 'NN'),166,0.0023819773281675994
('VBD', 'TO', 'VB'),165,0.0023676280671545416
('NNS', 'PRP', 'VBD'),165,0.0023676280671545416
('TO', 'VB', 'IN'),163,0.002338929545128426
('VBD', 'RB', 'IN'),153,0.0021954369349978476
('NN', 'CC', 'PRP'),151,0.002166738412971732
('PRP', 'VBD', 'RP'),149,0.0021380398909456163
('TO', 'VB', 'DT'),148,0.0021236906299325585
('RB', 'DT', 'NN'),148,0.0021236906299325585
('PRP', 'VBD', 'TO'),147,0.0021093413689195007
('VBG', 'IN', 'DT'),146,0.002094992107906443
('IN', 'NN', 'IN'),145,0.002080642846893385
('PRP', 'VBD', 'JJ'),145,0.002080642846893385
('PRP', 'VBP', 'DT'),145,0.002080642846893385
('RB', 'PRP', 'VBP'),145,0.002080642846893385
('VBD', 'RB', 'JJ'),144,0.002066293585880327
('NN', 'IN', 'NNP'),144,0.002066293585880327
('RP', 'IN', 'DT'),144,0.002066293585880327
('NN', 'VBD', 'RB'),142,0.0020375950638542115
('NNP', 'NNP', 'NNP'),141,0.0020232458028411537
('JJ', 'PRP', 'VBD'),139,0.001994547280815038
('JJ', 'NN', 'CC'),138,0.0019801980198019802
('IN', 'PRP', 'PRP'),138,0.0019801980198019802
('VBZ', 'DT', 'NN'),135,0.0019371502367628067
('NN', 'CC', 'DT'),133,0.001908451714736691
('VBD', 'RB', 'VB'),132,0.0018941024537236333
('NN', 'IN', 'PRP$'),131,0.0018797531927105754
('NNP', 'PRP', 'VBP'),129,0.0018510546706844598
('VBN', 'IN', 'DT'),126,0.0018080068876452863
('VB', 'IN', 'DT'),125,0.0017936576266322285
('NN', 'PRP', 'MD'),125,0.0017936576266322285
('PRP', 'IN', 'DT'),123,0.0017649591046061128
('DT', 'JJ', 'NNS'),123,0.0017649591046061128
('NN', 'TO', 'VB'),121,0.0017362605825799972
('DT', 'NNS', 'VBD'),121,0.0017362605825799972
('JJ', 'NNS', 'IN'),120,0.0017219113215669393
('VBG', 'TO', 'VB'),120,0.0017219113215669393
('MD', 'VB', 'PRP'),119,0.0017075620605538815
('VBD', 'PRP$', 'NN'),118,0.0016932127995408237
('PRP', 'VBZ', 'RB'),118,0.0016932127995408237
('DT', 'NN', 'TO'),117,0.0016788635385277658
('NN', 'VBD', 'DT'),116,0.001664514277514708
('IN', 'NN', 'PRP'),115,0.0016501650165016502
('IN', 'NNP', 'NNP'),115,0.0016501650165016502
('VBD', 'IN', 'PRP'),115,0.0016501650165016502
('PRP', 'VB', 'PRP'),114,0.0016358157554885924
('VBP', 'RB', 'PRP'),113,0.0016214664944755345
('NNP', 'VBD', 'DT'),111,0.0015927679724494189
('NN', 'VBD', 'IN'),111,0.0015927679724494189
('DT', 'NNP', 'NNP'),111,0.0015927679724494189
('DT', 'NNS', 'CC'),111,0.0015927679724494189
('RB', 'IN', 'PRP'),109,0.0015640694504233032
('PRP', 'VBZ', 'DT'),108,0.0015497201894102454
('DT', 'JJ', 'JJ'),107,0.0015353709283971876
('CC', 'VBD', 'DT'),106,0.0015210216673841297
('VBD', 'VBN', 'IN'),105,0.001506672406371072
('PRP', 'VBD', 'NNP'),105,0.001506672406371072
('VBD', 'PRP', 'MD'),105,0.001506672406371072
('VB', 'TO', 'VB'),105,0.001506672406371072
('VBD', 'VBG', 'IN'),104,0.001492323145358014
('VBD', 'PRP', 'IN'),103,0.0014779738843449563
('JJ', 'NN', 'NNP'),101,0.0014492753623188406
('WRB', 'PRP', 'VBD'),100,0.0014349261013057828
('RP', 'DT', 'NN'),100,0.0014349261013057828
('PRP', 'VBP', 'JJ'),99,0.001420576840292725
('VBD', 'RP', 'DT'),99,0.001420576840292725
('NNP', 'VBD', 'RB'),97,0.0013918783182666093
('IN', 'NNP', 'PRP'),97,0.0013918783182666093
('VB', 'PRP', 'VBD'),97,0.0013918783182666093
('VBD', 'RP', 'IN'),97,0.0013918783182666093
('RB', 'VB', 'DT'),97,0.0013918783182666093
('VB', 'PRP', 'PRP'),97,0.0013918783182666093
('VB', 'PRP', 'VB'),96,0.0013775290572535515
('PRP', 'VBP', 'VBN'),96,0.0013775290572535515
('PRP', 'PRP', 'VBP'),96,0.0013775290572535515
('VB', 'IN', 'PRP'),95,0.0013631797962404936
('PRP', 'DT', 'NN'),94,0.0013488305352274358
('PRP$', 'NN', 'PRP'),94,0.0013488305352274358
('CC', 'VBD', 'IN'),94,0.0013488305352274358
('PRP', 'VBP', 'IN'),94,0.0013488305352274358
('VBP', 'DT', 'NN'),93,0.001334481274214378
('JJ', 'IN', 'DT'),93,0.001334481274214378
('DT', 'NN', 'VBG'),92,0.0013201320132013201
('NNP', 'VBD', 'IN'),92,0.0013201320132013201
('VBG', 'DT', 'NN'),92,0.0013201320132013201
('CC', 'VBD', 'PRP'),92,0.0013201320132013201
('VBD', 'RB', 'RB'),91,0.0013057827521882623
('RB', 'NNP', 'VBD'),91,0.0013057827521882623
('IN', 'PRP$', 'NNS'),90,0.0012914334911752045
('VB', 'PRP', 'RB'),90,0.0012914334911752045
('PRP', 'RB', 'VBD'),89,0.0012770842301621467
('PRP$', 'NN', 'IN'),89,0.0012770842301621467
('IN', 'PRP', 'VBP'),88,0.0012627349691490888
('JJ', 'JJ', 'NN'),88,0.0012627349691490888
('NN', 'PRP', 'VBZ'),88,0.0012627349691490888
('NNP', 'NNP', 'PRP'),88,0.0012627349691490888
('EX', 'VBD', 'DT'),86,0.0012340364471229732
('NN', 'RB', 'PRP'),85,0.0012196871861099154
('DT', 'NNS', 'PRP'),85,0.0012196871861099154
('RB', 'JJ', 'PRP'),84,0.0012053379250968575
('JJ', 'NN', 'NN'),84,0.0012053379250968575
('JJ', 'IN', 'PRP'),83,0.0011909886640837997
('MD', 'VB', 'DT'),82,0.0011766394030707419
('VBD', 'RB', 'VBN'),81,0.001162290142057684
('PRP$', 'NN', 'VBD'),81,0.001162290142057684
('VBP', 'PRP', 'VB'),81,0.001162290142057684
('VB', 'DT', 'JJ'),81,0.001162290142057684
('VBD', 'RB', 'CC'),81,0.001162290142057684
('NN', 'VBD', 'PRP'),80,0.0011479408810446262
('VBD', 'DT', 'NNS'),80,0.0011479408810446262
('NN', 'NN', 'IN'),80,0.0011479408810446262
('VBD', 'IN', 'IN'),79,0.0011335916200315684
('JJ', 'PRP', 'VBP'),79,0.0011335916200315684
('NN', 'VBD', 'VBN'),78,0.0011192423590185106
('NN', 'IN', 'NNS'),78,0.0011192423590185106
('NN', 'VBD', 'JJ'),78,0.0011192423590185106
('PRP', 'VBD', 'NN'),77,0.0011048930980054527
('PRP$', 'NN', 'CC'),77,0.0011048930980054527
('NN', 'CC', 'RB'),77,0.0011048930980054527
('VB', 'PRP', 'IN'),77,0.0011048930980054527
('VB', 'PRP', 'DT'),77,0.0011048930980054527
('VBD', 'JJ', 'CC'),77,0.0011048930980054527
('RB', 'JJ', 'IN'),76,0.001090543836992395
('RB', 'RB', 'IN'),75,0.001076194575979337
('VBZ', 'DT', 'JJ'),74,0.0010618453149662792
('PRP', 'TO', 'VB'),73,0.0010474960539532214
('RB', 'RB', 'PRP'),72,0.0010331467929401636
('NN', 'CC', 'IN'),72,0.0010331467929401636
('RB', 'VB', 'IN'),71,0.0010187975319271058
('JJ', 'NN', 'DT'),71,0.0010187975319271058
('IN', 'PRP', 'MD'),71,0.0010187975319271058
('RB', 'PRP', 'MD'),71,0.0010187975319271058
('NNP', 'DT', 'NN'),71,0.0010187975319271058
('RB', 'JJ', 'NN'),70,0.001004448270914048
('NN', 'RB', 'IN'),69,0.0009900990099009901
('PRP', 'VBD', 'PRP$'),69,0.0009900990099009901
('JJ', 'NNP', 'VBD'),69,0.0009900990099009901
('IN', 'NN', 'CC'),67,0.0009614004878748745
('NN', 'CC', 'NN'),67,0.0009614004878748745
('IN', 'PRP', 'CC'),67,0.0009614004878748745
('PRP', 'VBP', 'VBG'),67,0.0009614004878748745
('PRP', 'IN', 'PRP'),66,0.0009470512268618166
('PRP', 'RB', 'PRP'),66,0.0009470512268618166
('PRP', 'VBZ', 'JJ'),65,0.0009327019658487588
('CC', 'PRP', 'VBP'),64,0.000918352704835701
('NNS', 'DT', 'NN'),63,0.0009040034438226431
