Turgenev	Before	Sun
('malek-adel', 273950.452441489)	('hashed-brown', 957678.4209486166)	('sportif', 272698.5261676984)
('sim-', 273950.452441489)	('tyroler', 239419.60523715414)	('wine-bag', 204523.89462577377)
('ac-', 273950.452441489)	('steam-filled', 239419.60523715414)	('race-conscious', 136349.2630838492)
('_you_', 219160.36195319123)	('raw-looking', 239419.60523715414)	('re-defined', 136349.2630838492)
('sum-', 164370.2714648934)	('pump-factory', 119709.80261857707)	('tight-wound', 136349.2630838492)
('ob-', 146106.90796879414)	('pool-table', 70417.53095210416)	('sun-hardened', 136349.2630838492)
('booth-keeper', 123277.70359867004)	('wicketed', 47883.92104743083)	('by-line', 68174.6315419246)
('up-to-date', 109580.18097659561)	('grappa', 39903.26753952569)	('traffic-signal', 68174.6315419246)
('evgenii', 109580.18097659561)	('short-bladed', 39903.26753952569)	('new-leaved', 68174.6315419246)
('land-', 109580.18097659561)	('t-bone', 29927.450654644268)	('foreign-office', 68174.6315419246)
('well-', 109580.18097659561)	('bilingual', 23941.960523715414)	('smoky-looking', 68174.6315419246)
('first-', 109580.18097659561)	('snowed-in', 21765.418657923103)	('ticket-booths', 68174.6315419246)
('with-', 109580.18097659561)	('normale', 21765.418657923103)	('smooth-rolled', 68174.6315419246)
('vis-', 109580.18097659561)	('iron-jawed', 18416.892710550317)	('horse-cab', 45449.75436128306)
('upper-secretary', 109580.18097659561)	('new-formed', 15961.307015810276)	('ill.', 45449.75436128306)
('_vous', 109580.18097659561)	('ordah', 15961.307015810276)	('hard-voiced', 45449.75436128306)
('o-oh-oh', 109580.18097659561)	('steel-rimmed', 9576.784209486166)	('heat-baked', 45449.75436128306)
('dis-', 65748.10858595736)	('high-voiced', 7980.653507905138)	('half-tumblerful', 45449.75436128306)
('la_', 54790.09048829781)	('white-pillared', 7723.213072166262)	('oversensitized', 45449.75436128306)
('_il', 54790.09048829781)	('initialled', 7723.213072166262)	('five-peseta', 34087.3157709623)
('night-', 54790.09048829781)	('mutuel', 7481.862663661067)	('aficionado', 30299.836240855377)
('russianised', 54790.09048829781)	('snow-filled', 7481.862663661067)	('wine-skin', 28406.09647580191)
('wood-ash', 54790.09048829781)	('unmelted', 7041.753095210415)	('stop-and-go', 27269.852616769836)
('dark-bluish', 54790.09048829781)	('clearheaded', 6840.5601496329755)	('horse-cabs', 27269.852616769836)
('coarse-witted', 54790.09048829781)	('jolly-looking', 6138.964236850105)	('white-paper', 27269.852616769836)
('re-scrawled', 54790.09048829781)	('half-completed', 5320.435671936758)	('sommelier', 22724.87718064153)
('_si', 54790.09048829781)	('likely-looking', 5094.034153982003)	('rope-soled', 22724.87718064153)
('_à', 54790.09048829781)	('talky', 4886.114392594983)	('half-shaved', 22724.87718064153)
('semi-imbecile', 54790.09048829781)	('yellow-brick', 4886.114392594983)	('bull-fighter', 21991.816626427284)
('where-soever', 54790.09048829781)	('autographed', 4788.392104743083)	('prep-school', 19478.466154835598)
('sleep-destroying', 54790.09048829781)	('linotype', 4788.392104743083)	('gold-brocaded', 17043.65788548115)
('_wo', 54790.09048829781)	('yoah', 4517.3510422104555)	('nickelled', 17043.65788548115)
('half-a-rouble', 54790.09048829781)	('re-write', 4200.34395152902)	('bait-can', 15149.918120427688)
('swiftly-dying', 54790.09048829781)	('linsey-woolsey', 3861.606536083131)	('wine-bottle', 13913.190110596855)
('thinly-growing', 54790.09048829781)	('untilled', 3861.606536083131)	('up-take', 12395.3875530772)
('pale-lilac', 54790.09048829781)	('picador', 3469.8493512631035)	('pie-eyed', 12395.3875530772)
('lo-ok', 54790.09048829781)	('smoke-filled', 3279.720619687043)	('long-jawed', 12395.3875530772)
('uncul-', 54790.09048829781)	('lira', 2919.7512833799287)	('reed-pipe', 11362.438590320766)
('sub-', 54790.09048829781)	('litre', 2919.7512833799287)	('bull-fight', 10907.941046707932)
('daugh-', 54790.09048829781)	('crated', 2919.7512833799287)	('white-plastered', 10488.404852603784)
('becom-', 54790.09048829781)	('foible', 2783.9488981064433)	('dark-stained', 9739.233077417799)
('house-', 54790.09048829781)	('world-weary', 2602.3870134473277)	('baggage-truck', 9089.950872256613)
('segretamente', 54790.09048829781)	('ex-service', 2547.0170769910014)	('templed', 9089.950872256613)
('jus-', 54790.09048829781)	('swellest', 2313.232900842069)	('middleweight', 8347.914066358113)
('apart-', 54790.09048829781)	('goggle', 2028.9797053996115)	('wine-cask', 8020.544887285246)
('prob-', 54790.09048829781)	('autobiographical', 1800.1474077981513)	('lipless', 8020.544887285246)
('oc-', 54790.09048829781)	('easy-chairs', 1375.974742742265)	('fifty-franc', 7574.959060213844)
('white-', 54790.09048829781)	('papoose', 1352.6531369330742)	('seven-ten', 7574.959060213844)
('name-', 54790.09048829781)	('smutty', 1315.4923364678798)	('pelota', 6817.463154192459)
('them-', 54790.09048829781)	('slushy', 1287.2021786943772)	('blue-striped', 6817.463154192459)
('lady', 0.22838415864522774)	('deep', 5.82735040919921)	('everybody', 3.1715031420694357)
('speak', 0.22415773448581808)	('safe', 5.822744424270493)	('drink', 3.1679661497176856)
('answered', 0.22324439491374326)	('blue', 5.618200287156029)	('impossible', 3.1569637203947485)
('happiness', 0.22012273856620265)	('terrible', 5.60570370492049)	('dear', 3.1360698997498537)
('laid', 0.2192752621905791)	('full', 5.568804345757545)	('lady', 3.0951362419792)
('hear', 0.2172774356954544)	('listen', 5.227274032512863)	('hung', 3.0855928643745996)
('opened', 0.21302523518000702)	('wide', 5.1196323155598025)	('nobody', 2.9393218738434332)
('looked', 0.21289831290948036)	('following', 5.102937150713034)	('fight', 2.929155579794393)
('meet', 0.20112950416390546)	('worth', 5.056166692793423)	('following', 2.906118399843326)
('used', 0.18636655709969965)	('certain', 4.821855783883232)	('fool', 2.872990646323125)
('neither', 0.18247974371046352)	('such', 4.62215306811058)	('decided', 2.8174828095187254)
('quite', 0.18083015554304338)	('top', 4.389717922978202)	('remembered', 2.8013901849903267)
('side', 0.17676218440242547)	('english', 4.36626190387632)	('usual', 2.7680071273036235)
('ye', 0.17556368535187275)	('broken', 4.245480108471719)	('half', 2.74061525487791)
('thought', 0.1751557961345197)	('minute', 4.058784926377469)	('only', 2.731957424189008)
('whose', 0.16864664442764524)	('wild', 3.9491893647365632)	('write', 2.7095896958297567)
('become', 0.16844547278805483)	('free', 3.9278735642805094)	('most', 2.704880974354558)
('soul', 0.16632441704070466)	('further', 3.9108708936303134)	('pretty', 2.692069125124124)
('feeling', 0.1661388191952266)	('sudden', 3.680603932991347)	('quick', 2.592881433914905)
('come', 0.15957887582357172)	('straight', 3.587778056062371)	('least', 2.474645645232614)
('length', 0.15939770079101687)	('please', 3.556493786852956)	('sleep', 2.411596651582964)
('mean', 0.15352352721976273)	('possible', 3.1081749112302397)	('table', 2.1550892321431547)
('call', 0.14041108548250134)	('beside', 3.033469392052735)	('human', 2.153574512088342)
('friend', 0.1386941670536659)	('o', 2.9272478938397617)	('side', 2.0988757151586164)
('already', 0.13552343146121623)	('hundred', 2.8037380726424197)	('thousand', 2.086733644784273)
('upon', 0.12375045686183733)	('able', 2.7579726441326358)	('left', 2.040278519108156)
('son', 0.11363183778464492)	('better', 2.318351193089615)	('please', 2.025420209507705)
('set', 0.10962293392082474)	('less', 2.2816861102739336)	('cut', 1.9309371232471242)
('thou', 0.10059429389182654)	('enough', 2.1390597059449563)	('mine', 1.8823151577764015)
('almost', 0.09195189859344843)	('understand', 2.1302761412340545)	('possible', 1.7701029882751844)
('child', 0.0911609322862868)	('else', 2.1193952626202055)	('back', 1.6414738889734464)
('voice', 0.09103929934964551)	('near', 2.0169463980754996)	('sir', 1.5911829559151738)
('father', 0.08840476453665881)	('only', 1.9988011951514604)	('letter', 1.5358105776509259)
('told', 0.08235804645097052)	('child', 1.7797141483654146)	('sound', 1.5113645371536)
