Turgenev	Before	Sun
('insistently', 272652.8672463016)	('jibway', 125345.39084324884)	('unforgivingly', 62430.466503478485)
('vassily', 54530.57344926032)	('sweatily', 62672.69542162442)	('braggartly', 62430.466503478485)
('patchily', 27265.286724630154)	('fourthly', 5013.815633729953)	('aficionado', 13873.437000772998)
('aquiver', 27265.286724630154)	('yogi', 3779.2580153743365)	('snotty', 13143.256105995471)
('steahhily', 27265.286724630154)	('trembly', 2848.75888280111)	('throatily', 2497.2186601391395)
('chantingly', 27265.286724630154)	('youah', 2754.8437547966773)	('dustily', 2190.5426843325786)
('tviere', 18176.857816420103)	('hollowly', 942.4465476936002)	('inconsequentially', 1891.832318287227)
('you-what', 18176.857816420103)	('protestingly', 901.7654017499915)	('embarrassedly', 1642.907013249434)
('savely', 18176.857816420103)	('wobbly', 688.7109386991693)	('compactly', 721.7394971500404)
('jerkily', 15580.163842645805)	('irresolutely', 625.9445235617919)	('externally', 362.96782850859586)
('rhythmically', 14350.150907700083)	('thirdly', 562.0869544540307)	('internally', 345.8751606840914)
('omnivorously', 13632.643362315077)	('lenore', 500.3808017694564)	('smoothly', 310.0384341030534)
('meaninglessly', 13632.643362315077)	('diagonally', 414.36492840743415)	('fashionably', 295.8789881681445)
('unstintedly', 10906.114689852062)	('skillfully', 391.09326316146286)	('typically', 288.36243188673666)
('takably', 10906.114689852062)	('shamefacedly', 357.10937562179157)	('frightfully', 223.02284538114284)
('tactfully', 9088.428908210051)	('jerkily', 337.4034746790009)	('shakily', 220.2132857265555)
('autorités', 9088.428908210051)	('exultantly', 317.73229618060543)	('technically', 203.68830833108805)
('inexactly', 9088.428908210051)	('deprecatingly', 307.21909520404125)	('guardedly', 189.75825684947867)
('exhaustingly', 9088.428908210051)	('apologetically', 303.3773074060077)	('down-stairs', 179.656018715046)
('avdotya', 7790.081921322902)	('ruefully', 205.3159555171971)	('perfunctorily', 178.8838581761561)
('somnolently', 5453.057344926031)	('frightfully', 191.90414520528017)	('jerkily', 168.04970795014395)
('light-heartedly', 5453.057344926031)	('secondly', 180.7431735302795)	('cleanly', 160.28361104872525)
('broken-heartedly', 4957.324859023664)	('ridiculously', 179.96466739877795)	('sore', 142.77237661918156)
('utterably', 4957.324859023664)	('playfully', 161.73598818483723)	('womanly', 140.84707614997967)
('articu-', 4544.214454105026)	('elaborately', 160.28822358471717)	('suavely', 140.29318315388423)
('half-contemptuously', 4194.659496096947)	('habitually', 156.19363344953126)	('professionally', 139.82187346803693)
('unsewn', 3895.040960661451)	('gratefully', 154.3662448808483)	('badly', 136.84573875935524)
('whereafter', 3408.1608405787692)	('lastly', 149.39855881197715)	('singly', 127.66966565128524)
('orously', 3207.6807911329597)	('sullenly', 147.20539147768505)	('solidly', 121.34201458402039)
('restfully', 3029.476302736684)	('anyway', 135.6810980156148)	('apiece', 117.62687989350634)
('rectly', 2726.528672463016)	('faster', 128.85673692443982)	('actively', 113.82035825611392)
('typically', 2638.5761346416284)	('ore', 125.03280882119586)	('permanently', 113.14991663521249)
('miere', 2596.6939737743005)	('awkwardly', 122.52726377639182)	('awfully', 112.48057144341809)
('stiflingly', 2596.6939737743005)	('inquiringly', 122.4076082453602)	('separately', 106.53663225849571)
('cessfully', 2423.581042189347)	('sometime', 118.25036872004607)	('ahead', 94.40328612638194)
('litely', 2370.894497793927)	('apiece', 118.08326975341387)	('comfortably', 91.5738415892607)
('ungrammatically', 2370.894497793927)	('maybe', 115.30430740659149)	('anyway', 87.45433066389855)
('senselessly', 2248.683441206611)	('permanently', 113.58893597032065)	('dully', 84.4225375300588)
('stertorously', 2181.222937970412)	('soundly', 112.06561541640487)	('edna', 77.84347444324001)
('sistently', 2181.222937970412)	('forcibly', 107.77763615068686)	('charmingly', 76.41427968602018)
('agonisingly', 2097.3297480484734)	('silently', 103.48127561065476)	('afterward', 75.1721450975057)
('pressively', 2097.3297480484734)	('enthusiastically', 102.74212364200724)	('jelly', 73.96974704203612)
('plop', 2097.3297480484734)	('outright', 97.73519753859559)	('rigidly', 73.92595204674777)
('riedly', 2019.650868491123)	('modestly', 96.56809772207153)	('brightly', 63.44559604012041)
('grumpily', 2019.6508684911225)	('automatically', 95.61051933123481)	('terribly', 62.50860225629885)
('cessantly', 1947.5204803307256)	('brilliantly', 94.92267386842018)	('finally', 62.43171513778124)
('moniously', 1880.3646016986315)	('consciously', 94.60029497603685)	('dangerously', 61.02684897700732)
('overlong', 1817.6857816420104)	('formerly', 94.45771728956204)	('inquiringly', 60.96725244480321)
('heatedly', 1759.0507564277518)	('bluntly', 94.03255127025419)	('absolutely', 58.63517175019325)
('absorbedly', 1759.0507564277518)	('nowhere', 93.98554674575018)	('anywhere', 57.53076317322545)
('forth', 0.38516684230264425)	('re', 9.884503654542137)	('fun', 5.575642270561622)
('proud', 0.3754075428327744)	('lonely', 9.87632595384697)	('particularly', 5.5738999601337875)
('laugh', 0.37355080833037846)	('later', 9.514333002001905)	('otherwise', 5.5617342096640074)
('ear', 0.37070410230632433)	('naturally', 9.480062837940464)	('clever', 5.393793814288175)
('behind', 0.368770002666236)	('longer', 9.33462845123986)	('nevertheless', 5.392861962033299)
('mere', 0.3535597015506429)	('almost', 8.961106030830544)	('farther', 5.230434526095718)
('little', 0.3405717542324076)	('enough', 8.959041582685137)	('hard', 5.175282388046164)
('heaven', 0.3261505219924119)	('so', 8.922818391640396)	('anyhow', 5.112222936740787)
('round', 0.3179767421046635)	('better', 8.496223410163907)	('funny', 5.033091462711907)
('dress', 0.3018793129273643)	('suddenly', 7.864611450896845)	('either', 4.616727457859285)
('fall', 0.2677161808710396)	('there', 7.787835835988211)	('also', 4.575638298127285)
('heard', 0.265243940868006)	('sure', 7.403044652794114)	('possibly', 4.509568513686686)
('clear', 0.26432657997702524)	('also', 7.349426688062904)	('noise', 4.224268658466641)
('art', 0.2624690674300169)	('first', 7.301280156720973)	('luck', 4.1946092319332475)
('bright', 0.25438663492547764)	('third', 6.96401971460908)	('further', 4.079156242570345)
('upon', 0.2287337079775351)	('easily', 6.689190214971787)	('burst', 3.794127229844632)
('mother', 0.22750909139907574)	('yellow', 6.361257116052112)	('quickly', 3.6153849029116567)
('understand', 0.21778516236569914)	('yet', 6.2549829684743665)	('south', 3.614233739744608)
('land', 0.21696543410240723)	('either', 6.179520353147744)	('aside', 3.54376264423446)
('sure', 0.21335049659030256)	('therefore', 5.951540327774029)	('most', 3.467767527956336)
('next', 0.21178032032460073)	('much', 5.66385643700502)	('easily', 3.3316683034116115)
('ah', 0.208394441278176)	('perfectly', 5.656763356872028)	('more', 3.314567903057895)
('cold', 0.20542071984743465)	('exactly', 5.419052369955204)	('yours', 3.263911462735772)
('none', 0.2016171106507299)	('though', 5.091856826016702)	('empty', 3.2041092408570138)
('meet', 0.20017684040813297)	('more', 4.991142536899)	('longer', 3.0995167562048698)
('suppose', 0.18707271315793914)	('write', 4.981832270553003)	('out', 3.0864311353087626)
('ye', 0.17473211585857618)	('over', 4.763833472272457)	('listen', 2.726102200929151)
('fire', 0.16041376328337403)	('already', 4.592920407579379)	('merely', 2.6587652358706393)
('sir', 0.1563332832561599)	('nice', 4.566316606311433)	('about', 2.596584165984324)
('sister', 0.15369730278377278)	('indeed', 4.4636684920809735)	('to-day', 2.408768674414634)
('open', 0.14224154841394465)	('nearly', 4.245686103825791)	('nice', 2.2743339345529505)
('o', 0.13110517021917226)	('laugh', 4.095317765323253)	('sure', 2.2123296027597563)
('*', 0.1298133722061383)	('late', 3.2324674637864925)	('neither', 2.017921859961164)
('dear', 0.12609566208026823)	('deep', 3.05084253187253)	('first', 1.983562044872452)
('nature', 0.1199270140824466)	('off', 3.040057986193696)	('over', 1.9772588898700203)
('least', 0.11593369642244304)	('most', 2.983904909319017)	('deep', 1.5195255382915747)
('family', 0.10981226277590783)	('slowly', 2.8613096273026875)	('brother', 1.5155600831082585)
('believe', 0.10890780470948966)	('long', 2.4613361775378633)	('off', 1.5141541064963708)
('towards', 0.09998344954722865)	('less', 2.3891012349686713)	('ten', 1.4955554451772348)
('all', 0.08547154993352334)	('out', 2.136832016721071)	('as', 1.3999431887762863)
('told', 0.08196795188888117)	('near', 2.1118983495627583)	('before', 1.3508677687150152)
('felt', 0.08149936548226598)	('hear', 1.898611635096431)	('less', 1.189933699354404)
('name', 0.07984527990836897)	('best', 1.8754874552918648)	('indeed', 1.111604122029441)
('left', 0.060647343188573455)	('as', 1.8738332525058687)	('near', 1.0518679489061613)
('tell', 0.06044258341860047)	('part', 1.7763110726741136)	('no', 0.8726346787361148)
('found', 0.057196802392800714)	('about', 1.737772572544432)	('sat', 0.6513656510058217)
('through', 0.05304566611762951)	('“', 1.7081799527558625)	('face', 0.31877081149097375)
('come', 0.03970575487051918)	('no', 0.6570153624239902)	('all', 0.2991535498629416)
('that', 0.030744708419000198)	('all', 0.4504713891689381)	('must', 0.27208864062810684)
('her', 0.013707621768786715)	('little', 0.31108555314521624)	('that', 0.023584155292164243)
