Turgenev	Before	Sun
('_you_', 34938.01423835209)	('whad', 487.1760834115828)	('mala', 240.49136021201204)
('yasha', 8734.503559588022)	('yogi', 164.02410848530678)	('onto', 47.80852341564095)
("'ona", 8734.503559588022)	('onto', 79.88147000216277)	("'here", 46.275305463535844)
("'mite", 2911.501186529341)	('yeah', 29.918237936366683)	("'so", 34.43043334922515)
("we've", 1746.9007119176047)	('inside', 17.61180342358714)	("'what", 31.152953432763088)
("'abandon", 1247.7862227982891)	('abreast', 13.714620835536154)	("'i", 24.103917652228997)
('peripneumonia', 1091.8129449485027)	('&', 13.26322535090453)	("'how", 23.690193692526556)
(".'", 647.0002636731869)	('around', 10.850099298898865)	('yeah', 14.54851491658368)
("'useless", 623.8931113991446)	("'d", 10.462787715969622)	('around', 9.592983008751602)
('i88', 623.8931113991446)	('t.', 9.173917253675112)	('trout', 9.535854475213453)
("'crisis", 582.3002373058682)	('oneself', 8.964789230589412)	("'he", 8.827825235813567)
('whereafter', 545.9064724742514)	('whiskey', 7.901427641872681)	('we', 8.213293544711744)
("'wee", 545.9064724742514)	('muddy', 6.881888591308464)	('below', 7.362871300105568)
('_i_', 513.7943270345896)	('toward', 6.709902006344189)	('owns', 7.208187908261941)
("'kill", 485.25019775489017)	('along', 6.144458562044095)	('across', 6.8556773894802925)
("'job", 415.928740932763)	('out', 5.89832421611362)	('outside', 6.757100797783225)
('yne', 363.9376483161676)	('through', 5.829799506541584)	('inside', 6.702412459987104)
("'bow", 335.94244459953933)	('they', 5.374328087743117)	('yes', 6.489729507084708)
("'kiss", 272.9532362371257)	('wouldn', 5.282537237186608)	('ca', 6.38330426608053)
("'what", 261.78967896361235)	('behind', 4.803096194809115)	('toward', 6.370351430495561)
('_on', 223.9616297330262)	('theirs', 4.705318954674362)	('oh', 6.351950755468648)
("'god", 189.88051216495703)	('beside', 4.549182442722759)	('ought', 5.962925121993249)
("'allow", 185.8405012678303)	('where', 4.546225276015041)	('off', 5.341336076741549)
("'dearest", 164.80195395449098)	('into', 4.461174366730081)	('i', 5.30505916336948)
