Turgenev	Before	Sun
('evgenii', 188812.45087368943)	('pump-factory', 503182.92178933375)	('aficion', 160854.37058990897)
('tchoo', 136364.54785322017)	('pump-maker', 120763.90122944012)	('fiancée', 137875.17479135052)
('_you_', 125874.96724912632)	('beanery', 89212.9720794062)	('road-racing', 137875.17479135052)
('booth-keeper', 104895.8060409386)	('seltz', 80509.2674862934)	('landing-nets', 91916.78319423369)
('hell-stone', 104895.8060409386)	('cigarette-factory', 80509.2674862934)	('señor', 91916.78319423369)
('commersh', 104895.8060409386)	('marmelade', 80509.2674862934)	('barrera', 78785.81416648603)
('ikons', 83916.64483275087)	('wascoming', 80509.2674862934)	('garlics', 64341.74823596358)
('malek-adel', 83916.64483275087)	('cloppety', 40254.6337431467)	('wine-bag', 45958.391597116846)
('with-', 62937.48362456316)	('autobus', 40254.6337431467)	('borracho', 45958.391597116846)
('vodka', 49450.879990728194)	('barrera', 23002.64785322669)	('dice-cup', 45958.391597116846)
('gagin', 48951.37615243802)	('maisons', 21957.072950807295)	('featherweights', 45958.391597116846)
('stepanitch', 41958.322416375435)	('pesage', 20127.31687157335)	('poules', 45958.391597116846)
('siskins', 41958.322416375435)	('jacklight', 20127.31687157335)	('potato-chips', 45958.391597116846)
('phaugh', 41958.322416375435)	('switch-yard', 20127.31687157335)	('rod-cases', 45958.391597116846)
('piano-player', 41958.322416375435)	('katzenjammers', 20127.31687157335)	('trouty', 45958.391597116846)
('route_', 41958.322416375435)	('weltpolitik', 20127.31687157335)	('joystick', 45958.391597116846)
('yitch', 41958.322416375435)	('breech-clouts', 20127.31687157335)	('ustedes', 45958.391597116846)
('_history', 41958.322416375435)	('keep-sake', 20127.31687157335)	('travelling-box', 45958.391597116846)
('aloofness', 41958.322416375435)	('monos', 17890.948330287425)	('shoe-shines', 45958.391597116846)
('kvas', 25174.993449825266)	('dancy', 16101.853497258682)	('coffee-glasses', 45958.391597116846)
('panshin', 25174.993449825266)	('gonorrhea', 13418.211247715568)	('sportif', 45958.391597116846)
('alexey', 20979.161208187717)	('telegrapher', 13260.349938918915)	('dancing-club', 34468.79369783763)
('nettle-seeds', 20979.161208187717)	('peace.', 11501.323926613344)	('tabul', 30638.92773141123)
('non-smoker', 20979.161208187717)	('horseshoer', 11501.323926613344)	('bull-fighters', 28168.04646274903)
('_au', 20979.161208187717)	('t-bone', 10063.658435786676)	('sweetshops', 22979.195798558423)
('educationalist', 20979.161208187717)	('pelouse', 10063.658435786676)	('servings', 22979.195798558423)
('_si', 20979.161208187717)	('zanne', 10063.658435786676)	('darbs', 22979.195798558423)
('_de', 20979.161208187717)	('y.', 9873.778087941644)	('tobacco-tins', 22979.195798558423)
('_à', 20979.161208187717)	('marsala', 9253.938791527979)	('unloadings', 22979.195798558423)
('need_', 20979.161208187717)	('muleta', 8050.926748629341)	('feed-boxes', 22979.195798558423)
('_jacob', 20979.161208187717)	('lunch-pail', 8050.926748629341)	('ticket-booths', 22979.195798558423)
('chorus-singing', 20979.161208187717)	('petoskey', 7319.024316935765)	('tafalla', 22979.195798558423)
('silk-tie', 20979.161208187717)	('chantries', 7319.024316935765)	('pernod', 20890.177998689476)
('beetroot-sugar', 20979.161208187717)	('open-face', 7319.024316935765)	('sadist', 18383.356638846737)
('boundary-ditch', 20979.161208187717)	('ex-servicemen', 7319.024316935765)	('aficionado', 15319.463865705617)
('skoy', 20979.161208187717)	('blurbs', 7319.024316935765)	('horse-cab', 15319.463865705615)
('aestheticism', 20979.161208187717)	('chinook', 6709.105623857784)	('apéritif', 15319.463865705615)
('friene', 20979.161208187717)	('cogida', 6709.105623857784)	('flamands', 15319.463865705615)
('better/', 20979.161208187717)	('bianco', 6193.020575868723)	('willys', 15319.463865705615)
('burdeti', 20979.161208187717)	('jerries', 5750.661963306672)	('nature-writer', 15319.463865705615)
('yasha', 20979.161208187717)	('vre', 5750.661963306672)	('montoya', 15319.463865705615)
('segretamente', 20979.161208187717)	('marcs', 5750.661963306672)	('hay-forks', 15319.463865705615)
('ri~', 20979.161208187717)	('enema', 5367.284499086228)	('clothes-chest', 15319.463865705615)
('manor-lodge', 20979.161208187717)	('adzes', 5367.284499086228)	('suerte', 15319.463865705615)
('tonation', 20979.161208187717)	('mutuel', 5031.829217893338)	('swimming-suit', 15319.463865705615)
('vis-', 20979.161208187717)	('platers', 5031.829217893338)	('bull-fighter', 13342.758850775857)
('land-', 20979.161208187717)	('lira', 4909.101675993501)	('bull-ring', 12868.349647192716)
('chainc', 20979.161208187717)	('coiffeur', 4909.101675993501)	('slipover', 11489.597899279212)
('orgetfulness', 20979.161208187717)	('jocks', 4792.218302755559)	('pesage', 11489.597899279212)
('woamn', 20979.161208187717)	('hod-carrier', 4472.737082571856)	('confider', 11489.597899279212)
('live', 0.07362142479010288)	('standing', 1.034610716128989)	('quiet', 0.6807339563805022)
('neither', 0.06987161230091861)	('while', 1.033893251397116)	('sister', 0.6707295913181093)
('kept', 0.06944442637599377)	('minutes', 1.0335348920535248)	('help', 0.6668900100431236)
('quite', 0.06923998392098707)	('city', 1.0279791042454276)	('wonder', 0.6569613985521877)
('taking', 0.06804346525748481)	('bring', 0.984581967546697)	('sitting', 0.6533191879725478)
('deep', 0.0642106524411666)	('past', 0.944534268994608)	('talking', 0.6446500532614717)
('away', 0.062466982313775794)	('thought', 0.9400807499030066)	('doubt', 0.6126560234235399)
('upon', 0.054153291713963984)	('towards', 0.9345351366387701)	('stand', 0.6112463637431086)
('miss', 0.05239249795388306)	('glad', 0.931119730368281)	('father', 0.6103392321636771)
('keep', 0.052258856606694576)	('afraid', 0.9038672925980489)	('hold', 0.5576459576183564)
('very', 0.052008781731570704)	('run', 0.8812696208929179)	('forward', 0.5479456279313833)
('gone', 0.04972838212311163)	('lips', 0.8470558201954149)	('blue', 0.5392278727809087)
('go', 0.04971200293873597)	('beautiful', 0.8370164835453539)	('glad', 0.5315259538208159)
('give', 0.047907527030557034)	('strange', 0.8018851343256316)	('sense', 0.5298774597864372)
('together', 0.047274106608020956)	('dead', 0.7298720603257611)	('ready', 0.5207631736064547)
('whom', 0.046814952392528766)	('stood', 0.7099645277850194)	('moment', 0.5148399742770798)
('once', 0.04397017790648673)	('fact', 0.7023035301850502)	('king', 0.5043389548220798)
('before', 0.04366453599255241)	('children', 0.6901129553689186)	('answer', 0.4967185983865467)
('down', 0.04353278724354169)	('”', 0.6747001281053032)	('beautiful', 0.4778074937840938)
('answered', 0.04274021185199585)	('hard', 0.6673956121617267)	('husband', 0.4753759034849381)
('because', 0.04268473117145119)	('believe', 0.6027360880289685)	('true', 0.4660574540073303)
('got', 0.04050797488364153)	('left', 0.6023550304793476)	('need', 0.45053713039287946)
('up', 0.04008627723499049)	('come', 0.5575733288060365)	('care', 0.43849243008412214)
('make', 0.03509089408112328)	('god', 0.5544180828728181)	('later', 0.43605855683018024)
('de', 0.034973195938058824)	('always', 0.5531952278578582)	('speak', 0.41804298459223777)
('both', 0.030605647256815745)	('mean', 0.5525839246533426)	('understand', 0.4089225066253534)
('better', 0.027831868110657614)	('“', 0.5485814668013097)	('else', 0.4068338402450016)
('few', 0.025493034349151535)	('together', 0.5389344884145328)	('felt', 0.3733965291197482)
('saw', 0.0252813368652151)	('soon', 0.4810687908117081)	('around', 0.3472043001436676)
('soon', 0.025076722788561448)	('myself', 0.47455257193384975)	('mean', 0.31544031131339806)
('know', 0.024090884380016993)	('lady', 0.456891269479734)	('behind', 0.2940339698989581)
('her', 0.021094544852774923)	('—', 0.44207138760828973)	('myself', 0.27089642739660863)
('take', 0.01949843086952511)	('one', 0.40484498944654607)	('great', 0.24575037282062348)
('did', 0.01892015628077599)	('done', 0.39207976802406463)	('sat', 0.23975247454036364)
('out', 0.016899952156390997)	('enough', 0.3596491813285091)	('think', 0.20017374956549908)
('young', 0.0156862572336409)	('think', 0.3506615742513079)	('quite', 0.20003652490584048)
('say', 0.014682333960299927)	('herself', 0.3457099011353155)	('good', 0.19273806499105406)
('over', 0.013460285890571917)	('heard', 0.32795602019770176)	('heard', 0.18721237533857804)
('am', 0.013065047736777784)	('want', 0.2965678251235621)	('put', 0.16272374092566297)
('about', 0.01122701591762729)	('go', 0.28723662893047325)	('come', 0.15914424630517512)
('me', 0.010771965894695658)	('put', 0.2850571730055143)	('let', 0.15574839314329572)
('little', 0.00935898273345315)	('oh', 0.2777484181764325)	('get', 0.11221680282533718)
('i', 0.0066493299242864345)	('let', 0.2728378563387457)	('say', 0.10311670050262589)
('do', 0.005888882397625411)	('take', 0.2436573678539235)	('did', 0.09771759264650837)
('so', 0.003757611340377742)	('know', 0.22837111419877462)	('before', 0.08287047626427312)
('him', 0.0030892735938255226)	('good', 0.1688179230159224)	('go', 0.08198393728815052)
('be', 0.0025705185521775133)	('out', 0.13724858907864532)	('down', 0.0712771898761707)
('a', 0.0007191789735811388)	('this', 0.05395705478409503)	('do', 0.06468271020627392)
('to', 0.000525390819702746)	('me', 0.04713248938984995)	('me', 0.02690539203694109)
('the', 0.000521099200332556)	('in', 0.01287870305853879)	('her', 0.01122883624947576)
