Turgenev	Before	Sun
('_have_', 38712.32400561965)	('marmelade', 72336.9579041648)	('prepped', 16839.91107172644)
('_then_', 38712.32400561965)	('puked', 36168.4789520824)	('stencilling', 11226.60738115096)
('sup-', 38712.32400561965)	('moistens', 10333.8511291664)	('razzing', 6735.964428690576)
('_ab', 19356.162002809826)	('geld', 8510.230341666445)	('tricornered', 6735.964428690576)
('_you_', 19356.162002809826)	('collaring', 6382.672756249835)	('overtipped', 4811.403163350411)
('_au', 19356.162002809826)	('unjointed', 5564.381377243446)	('snooty', 3367.982214345288)
('with-', 19356.162002809826)	('asperse', 5166.9255645832)	('circularizing', 3367.982214345288)
('sim-', 19356.162002809826)	('wollen', 4255.115170833223)	('tromper', 3061.802013041171)
('wfote', 19356.162002809826)	('renoir', 3014.039912673533)	('profiled', 2806.65184528774)
('vi^ant', 19356.162002809826)	('encase', 2583.4627822916)	('launder', 2405.7015816752055)
('acia', 19356.162002809826)	('gentling', 2583.4627822916)	('garçon', 1122.6607381150961)
('gagin', 16130.135002341525)	('vilify', 2494.3778587643033)	('utilize', 1044.3355703396242)
('_en', 9678.081001404913)	('culling', 1682.2548349805766)	('surfaced', 962.2806326700822)
('connote', 9678.081001404913)	('wops', 1589.8232506409845)	('grave-looking', 935.5506150959134)
('_il', 9678.081001404913)	('spading', 1539.0842107269107)	('recharged', 935.5506150959134)
('wecken', 9678.081001404913)	('partakes', 1269.0694369151718)	('festa', 886.3111090382338)
('negating', 9678.081001404913)	('bootleg', 1063.7787927083057)	('spraddled', 886.3111090382337)
('panshin', 7742.4648011239315)	('boozing', 990.9172315639013)	('proselyting', 841.995553586322)
('oughtn', 7258.560751053686)	('sloshing', 951.8020776863789)	('fortuna', 765.4505032602927)
('conservating', 6452.05400093661)	('wham', 893.0488630143802)	('subscribes', 765.4505032602927)
('changé', 6452.05400093661)	('recast', 871.5296133031903)	('recounts', 716.5919604989974)
('interviewed', 6452.05400093661)	('segments', 786.2712815670086)	('stencilled', 660.3886694794681)
('refurbish', 6452.05400093661)	('pecked', 751.9434293572224)	('overmatched', 660.3886694794681)
('heel-tapped', 6452.05400093661)	('dastard', 723.369579041648)	('lumping', 635.4683423292996)
('ob-', 6452.05400093661)	('subscribing', 688.9234086110934)	('shucked', 612.3604026082342)
('tnish', 6452.05400093661)	('oscillated', 682.4241311713661)	('bankrupts', 612.3604026082342)
('sucs', 6452.05400093661)	('evened', 669.7866472607851)	('sloshed', 570.8444431093709)
('-district', 6452.05400093661)	('rough-house', 613.0250669844474)	('cohn', 552.1282318598832)
('thudded', 4839.0405007024565)	('lop', 565.1324836262875)	('handclapping', 543.2229377976271)
('galed', 4839.0405007024565)	('clogging', 535.8293178086282)	('firmed', 543.2229377976271)
('etted', 4839.0405007024565)	('kidded', 520.4097690947107)	('pivoted', 518.1511098992751)
