,DateBorrowed,DateReturned,Title
0,1925-10-08,,Mammonart
1,1925-10-12,1925-10-27,Sentimental Education
2,1925-10-14,1925-10-22,Sailing around the World
3,1925-10-14,1925-10-22,Sea and the Jungle.
4,1925-10-22,1925-10-27,Lear of the Steppes
5,1925-10-22,1925-11-16,Sportsman's Sketches vol 2
6,1925-10-27,1925-11-16,Torrents of Spring
7,1925-11-09,1925-11-24,Bread of Deceit
8,1925-11-16,1925-11-24,Travel Diary of a Philosopher
9,1925-11-23,1925-12-10,Parody Outline of History
10,1925-11-24,1925-12-01,More Tales of the Uneasy
11,1925-11-28,1925-12-01,Terrible Hobby of Sir J. Londe
12,1925-12-01,1925-12-10,Charter House of Parma
13,1925-12-10,1926-01-19,Budden Brooks
14,1925-12-10,1926-04-13,Children of the Age
15,1925-12-10,1926-02-02,House of Gentle Folks
16,1925-12-10,1926-01-19,Father and Children
17,1926-01-28,1926-02-02,D' Looks at Literature
18,1926-01-30,,In our Time
19,1926-01-30,1926-01-30,Bull fighting
20,1926-03-29,1926-05-10,Best Short Stories 1935 Am
21,1926-04-01,1926-04-13,Flurried years
22,1926-04-11,1926-04-24,Along the Road
23,1926-04-13,1926-04-24,Strait is the fate
24,1926-04-17,1926-04-24,Collected Poems
25,1926-04-21,,The Crime at Vanderlynden's
26,1926-04-26,,Early Poems Yeats
27,1926-04-29,,Outcast of the Island
28,1926-05-04,1926-05-10,The Egoists
29,1926-05-04,1926-05-10,Steeplejacket
30,1926-05-04,1926-10-01,Far away + Long Ago
31,1926-05-05,1926-09-13,Thus Spoke Zarathustra
32,1926-05-10,1926-11-02,Knock Knock Knock
33,1926-05-10,1926-09-10,Two Friends
34,1926-05-10,1926-09-10,On the Eve
35,1926-05-14,1926-09-13,Problems of Philosophy
36,1926-08-26,1926-09-10,Mirrors to France
37,1926-09-10,1926-10-01,Sportsman's Sketches
38,1926-09-10,1926-10-01,Paul Cezanne
39,1926-09-25,1926-10-01,New Republic
40,1926-10-01,1926-10-11,Mastro Don Gesualdo
41,1926-10-11,,Life Work + Evil Fate of G. de Maupassant
42,1926-10-11,,Americana
43,1926-10-29,1927-02-28,On the Trail of the Ancient Man
44,1926-11-04,1927-02-28,Composition G Stein
45,1926-11-18,,Sailors Return.
46,,1927-03-12,Spanish Journey
47,1927-03-01,1927-03-12,Go she must
48,1927-04-03,,Inquisition
49,1927-05-31,,Garnell
50,1927-06-11,1927-06-13,Story of a Wonder Man
51,1927-06-11,,Transition.
52,,1927-10-18,Grandmother
53,1927-10-18,1927-10-19,Time & Western Man
54,1927-10-19,1927-10-25,Black Cat.
55,1927-10-25,1927-11-15,Barnum's Own Story
56,1927-10-25,1927-11-15,Mother India
57,1927-11-14,1927-12-07,Dial
58,,,Story of Ivy
59,1927-11-23,1927-12-07,Shadow River
60,1927-11-26,1927-12-07,Before the Bombardment
61,1927-11-01,1927-12-07,Bridge of San Luis Rey
62,1927-12-07,1928-02-13,Gambler.
63,1927-12-07,1928-02-13,Insulted & Injured
64,1927-12-07,1928-02-06,Gallows Reach
65,1928-02-04,1928-02-24,Lawrence and the Arabs
66,1928-02-09,1928-03-03,Torrents of Spring
67,1928-02-11,1928-03-03,Recollections of the Irish War
68,1928-02-11,1928-02-13,Riddle of the Irish
69,,1928-02-13,Dial Jan 28
70,1928-02-13,1928-02-28,World's Illusion 2 vols
71,1928-02-24,1928-03-03,Emperor Jones
72,1928-02-24,1928-03-03,Plough & Stars
73,1928-02-28,,Magic Mountain 2 vols
74,1928-03-03,1928-03-08,Wonder book of the Wild
75,1928-03-08,,Genius & Character.
76,1929-04-23,,Dial
77,1929-04-23,1929-05-16,Autobiography of Lord Alfred Douglas
78,1929-04-23,1929-05-14,Zola + His Time
79,1929-04-26,1929-05-14,Guillotine + Its Servants
80,1929-04-26,,Dial
81,1929-05-16,,Life in the Middle Ages
82,1929-05-21,1929-07-02,Diary of Dostoievsky's Wife
83,1929-06-03,1929-06-05,Bookman's Day book
84,1929-06-05,,Three Lives
85,1929-06-05,,Mlle Turpin comes
86,1929-06-21,,Contemporary Russian Literature
87,1929-06-24,,Round that Green Cloth.
88,1929-06-29,1929-07-02,Politicians and the War
89,1929-09-19,1929-09-27,Lady Chatterley's Lover
90,1929-09-19,,War
91,1929-09-19,1929-09-27,This quarter No 5
92,1929-09-25,1929-10-19,Adv of Sir W. Raleigh
93,1929-09-27,,On the Eve
94,1929-09-27,,A Sportsmans Sketches
95,1929-09-27,1930-01-23,Idiot
96,1929-10-11,1929-10-19,Balzac in Slippers
97,,,
98,,,
99,1933-11-10,1933-11-21,Sober Truth
100,1933-11-10,1933-11-21,Discursions on Travel Art and Life
101,1933-11-10,1933-11-21,Men of Ness
102,1933-11-10,,Orators 33v
103,1938-09-07,,Life + Death of Spanish Towns
104,1938-09-07,1938-09-10,Dead Don't Care
105,1938-09-30,,Homage to Catalonia
106,1938-10-26,,Saturday Review
107,1938-11-01,,Education of Hyman Kaplan
